iter	Logloss
0	0.6796496943
1	0.6714872196
2	0.6637991351
3	0.6503151387
4	0.6374636581
5	0.6256875855
6	0.6154967521
7	0.6054973523
8	0.5939915772
9	0.5839238337
10	0.5732085985
11	0.5657998753
12	0.5587002517
13	0.5498786902
14	0.5428465585
15	0.5338491549
16	0.5257791412
17	0.5169823212
18	0.5094364441
19	0.5022487598
20	0.4963294401
21	0.4881647074
22	0.4802030013
23	0.4733335275
24	0.466036155
25	0.4592947734
26	0.4533331086
27	0.4476709431
28	0.4417458124
29	0.4364805944
30	0.4316662856
31	0.4260925293
32	0.420257286
33	0.4144756248
34	0.4098928878
35	0.4063083797
36	0.4007923991
37	0.3958828838
38	0.3912220219
39	0.3880341672
40	0.3845867797
41	0.3805419527
42	0.3763004456
43	0.3722630729
44	0.3691639092
45	0.3655758856
46	0.3621736532
47	0.3583937484
48	0.3553046837
49	0.351950377
50	0.3491688517
51	0.346406668
52	0.3426907209
53	0.3396588442
54	0.336995785
55	0.3340209241
56	0.3307238646
57	0.3276883494
58	0.3251676233
59	0.3222311441
60	0.3188432141
61	0.3161877222
62	0.3139596655
63	0.3107591635
64	0.3083421418
65	0.3064579248
66	0.3041098563
67	0.3012791685
68	0.2985922581
69	0.2970101841
70	0.2946536823
71	0.2931115878
72	0.2906464175
73	0.2883353097
74	0.2862606976
75	0.2844923722
76	0.2841366501
77	0.2819414067
78	0.2795711177
79	0.277804622
80	0.2756303415
81	0.2744210191
82	0.2725575612
83	0.2709084224
84	0.2695999625
85	0.2673920679
86	0.2664210471
87	0.2655644441
88	0.2634797267
89	0.2622342492
90	0.2605110693
91	0.2591237484
92	0.257173454
93	0.2548614196
94	0.253792057
95	0.2521819163
96	0.2508599635
97	0.2490498085
98	0.2479535902
99	0.2456923229
100	0.2441102699
101	0.2425175829
102	0.2414758618
103	0.2392340492
104	0.2377844713
105	0.2370100048
106	0.2367907428
107	0.2352848317
108	0.2338754913
109	0.2324060732
110	0.2311978329
111	0.2295849489
112	0.228674867
113	0.2269969551
114	0.2252975661
115	0.224125886
116	0.2232970571
117	0.2217869784
118	0.2209496583
119	0.2198359347
120	0.2189753312
121	0.2176522674
122	0.2167772238
123	0.2158559053
124	0.2147555322
125	0.2136149366
126	0.2126035013
127	0.2115555263
128	0.2106489282
129	0.2094965675
130	0.2080087646
131	0.2067919231
132	0.2054488947
133	0.2045114573
134	0.203663939
135	0.2024465219
136	0.2010725087
137	0.1998337888
138	0.198538429
139	0.19828161
140	0.1970586722
141	0.1966524968
142	0.1955958164
143	0.1944828885
144	0.1936308709
145	0.1927437752
146	0.1919141181
147	0.1910391816
148	0.1896992028
149	0.1888445945
150	0.1878753592
151	0.1868985693
152	0.1862835665
153	0.1854503248
154	0.1846930498
155	0.1838970756
156	0.1833486678
157	0.1821583286
158	0.1815900448
159	0.181026569
160	0.1800924228
161	0.1789987606
162	0.1780608839
163	0.1770495911
164	0.1758628523
165	0.1749626968
166	0.1738634903
167	0.1732992038
168	0.1725508447
169	0.1714324023
170	0.1706637113
171	0.1698813176
172	0.1690723779
173	0.1679745594
174	0.1678641321
175	0.1670624284
176	0.1662778877
177	0.1650862932
178	0.1641953021
179	0.1628935764
180	0.1622810262
181	0.1615025685
182	0.1606094693
183	0.1599011831
184	0.1587854534
185	0.1583106062
186	0.1577632477
187	0.1572435517
188	0.1566294137
189	0.1557920343
190	0.1553369255
191	0.1545807488
192	0.1541762976
193	0.1536637208
194	0.1527513427
195	0.1519823759
196	0.1513503822
197	0.1506985274
198	0.1497781181
199	0.1491473041
200	0.1485055869
201	0.1480095455
202	0.1472623666
203	0.1465554057
204	0.1461432126
205	0.1458568379
206	0.1453354226
207	0.1449459346
208	0.1439462152
209	0.1435741948
210	0.1430066612
211	0.1422012453
212	0.1419135539
213	0.1412447451
214	0.140896898
215	0.1405143199
216	0.1399117648
217	0.139317385
218	0.138683537
219	0.1382603476
220	0.1380692455
221	0.1376529065
222	0.1372585445
223	0.1368653476
224	0.1361426537
225	0.1358816927
226	0.1351856095
227	0.1344936224
228	0.1340688335
229	0.1336882433
230	0.1330443376
231	0.1327430476
232	0.1322958749
233	0.1320182758
234	0.1315540872
235	0.1313343551
236	0.1306320763
237	0.1302893106
238	0.1298334001
239	0.1295239368
240	0.1288753552
241	0.1283044317
242	0.1275484417
243	0.1270341775
244	0.1265455128
245	0.1261308937
246	0.1254065871
247	0.1250066994
248	0.1247138214
249	0.1242665485
250	0.1237815031
251	0.1231937125
252	0.122959624
253	0.122552361
254	0.1219439611
255	0.1212932358
256	0.1209758299
257	0.1207069532
258	0.1201622926
259	0.1197997888
260	0.1192624755
261	0.1189077422
262	0.1185465602
263	0.1183180238
264	0.1175358387
265	0.1169521837
266	0.1165465838
267	0.1163163885
268	0.1160859537
269	0.1156312086
270	0.1154398237
271	0.1151947192
272	0.1147009701
273	0.1143204004
274	0.1136680776
275	0.1132634982
276	0.1126391216
277	0.1121963282
278	0.1119140812
279	0.1114952902
280	0.1113078996
281	0.1108157407
282	0.1102066098
283	0.1097226207
284	0.109441343
285	0.1090695259
286	0.1086659313
287	0.1082408578
288	0.107676718
289	0.1073646587
290	0.1070445287
291	0.1066135299
292	0.1061789288
293	0.1059400701
294	0.1056000095
295	0.1051674733
296	0.1050561895
297	0.1047298526
298	0.1043554241
299	0.1040745959
