iter	Passed	Remaining
0	1	320
1	2	385
2	3	362
3	4	342
4	5	347
5	7	343
6	7	334
7	8	327
8	9	320
9	10	315
10	11	310
11	12	306
12	13	303
13	14	298
14	15	295
15	16	293
16	17	290
17	18	288
18	19	286
19	20	284
20	21	281
21	22	287
22	23	288
23	24	286
24	26	288
25	27	288
26	28	284
27	29	284
28	30	282
29	31	280
30	32	279
31	33	277
32	34	275
33	35	275
34	36	275
35	37	272
36	38	273
37	39	272
38	40	271
39	41	269
40	42	268
41	43	266
42	44	265
43	45	263
44	46	261
45	47	260
46	48	258
47	49	259
48	50	259
49	51	257
50	52	256
51	53	255
52	54	255
53	55	254
54	57	254
55	58	254
56	59	252
57	60	251
58	61	249
59	62	248
60	63	246
61	63	245
62	64	244
63	66	244
64	67	244
65	68	243
66	69	242
67	71	242
68	72	241
69	72	239
70	73	238
71	74	237
72	76	236
73	77	236
74	78	235
75	79	233
76	79	230
77	80	228
78	81	227
79	82	226
80	83	225
81	84	224
82	85	222
83	86	222
84	87	221
85	89	223
86	90	220
87	91	220
88	92	219
89	93	218
90	94	217
91	95	216
92	96	214
93	97	213
94	98	212
95	99	212
96	101	211
97	101	210
98	102	208
99	103	207
100	104	206
101	105	205
102	106	204
103	107	202
104	108	201
105	109	200
106	109	198
107	110	196
108	111	195
109	112	194
110	118	201
111	119	200
112	120	199
113	121	198
114	122	197
115	124	196
116	125	195
117	126	194
118	126	193
119	127	191
120	128	190
121	129	189
122	130	187
123	131	186
124	131	184
125	132	183
126	133	182
127	134	180
128	135	179
129	135	177
130	136	176
131	137	175
132	138	173
133	139	172
134	140	171
135	140	169
136	141	168
137	142	167
138	143	165
139	143	164
140	144	163
141	145	161
142	146	160
143	146	159
144	147	157
145	148	156
146	149	155
147	149	153
148	150	152
149	151	151
150	152	150
151	152	148
152	153	147
153	154	146
154	155	145
155	156	144
156	156	142
157	157	141
158	158	140
159	159	139
160	159	138
161	160	136
162	161	135
163	162	134
164	163	133
165	163	132
166	164	131
167	165	129
168	166	128
169	166	127
170	167	126
171	168	125
172	169	124
173	170	123
174	170	121
175	171	120
176	172	119
177	172	118
178	173	117
179	174	116
180	175	115
181	175	114
182	176	112
183	177	111
184	178	110
185	178	109
186	179	108
187	180	107
188	181	106
189	182	105
190	183	104
191	184	103
192	185	102
193	186	101
194	186	100
195	187	99
196	188	98
197	188	97
198	189	96
199	190	95
200	191	94
201	192	93
202	192	92
203	193	91
204	194	90
205	195	89
206	195	88
207	196	87
208	197	85
209	198	84
210	199	83
211	199	82
212	200	81
213	201	80
214	201	79
215	202	78
216	203	77
217	204	76
218	204	75
219	205	74
220	206	73
221	207	72
222	208	71
223	209	70
224	209	69
225	210	68
226	211	67
227	211	66
228	212	65
229	213	64
230	214	63
231	214	62
232	215	61
233	216	61
234	217	60
235	217	59
236	218	58
237	219	57
238	220	56
239	221	55
240	221	54
241	222	53
242	223	52
243	223	51
244	224	50
245	225	49
246	226	48
247	226	47
248	227	46
249	228	45
250	229	44
251	229	43
252	230	42
253	231	41
254	232	41
255	233	40
256	233	39
257	234	38
258	235	37
259	236	36
260	236	35
261	237	34
262	238	33
263	239	32
264	240	31
265	240	30
266	241	29
267	242	28
268	243	28
269	243	27
270	244	26
271	245	25
272	246	24
273	246	23
274	247	22
275	248	21
276	249	20
277	250	19
278	250	18
279	251	17
280	252	17
281	253	16
282	253	15
283	254	14
284	255	13
285	256	12
286	257	11
287	257	10
288	258	9
289	259	8
290	260	8
291	261	7
292	262	6
293	263	5
294	264	4
295	264	3
296	265	2
297	266	1
298	267	0
299	268	0
